GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gateway,com.universite.domain,User,0,132,0,10,0,40,0,29,0,24
Gateway,com.universite.domain,UserCallback,0,11,0,0,0,3,0,3,0,3
Gateway,com.universite.domain,AbstractAuditingEntity,8,29,0,0,4,13,2,7,2,7
Gateway,com.universite.domain,AuthorityCallback,0,11,0,0,0,3,0,3,0,3
Gateway,com.universite.domain,Authority,10,52,5,5,4,14,6,9,1,9
Gateway,com.universite.web.rest,LogoutResource,0,60,0,0,0,13,0,4,0,4
Gateway,com.universite.web.rest,AccountResource,5,29,1,3,1,8,1,5,0,4
Gateway,com.universite.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Gateway,com.universite.web.rest,AuthorityResource,6,109,0,2,2,29,0,10,0,9
Gateway,com.universite.web.rest,GatewayResource,69,9,2,0,14,4,3,1,2,1
Gateway,com.universite.web.rest,AuthInfoResource.AuthInfoVM,26,0,0,0,10,0,5,0,5,0
Gateway,com.universite.web.rest,PublicUserResource,0,55,0,0,0,12,0,6,0,6
Gateway,com.universite.web.rest,AuthInfoResource,9,3,0,0,1,1,1,1,1,1
Gateway,com.universite.repository,EntityManager,329,23,24,0,75,7,26,2,14,2
Gateway,com.universite.repository,UserSqlHelper,73,0,0,0,11,0,2,0,2,0
Gateway,com.universite.repository,UserRepositoryInternalImpl,187,21,4,0,37,6,15,2,13,2
Gateway,com.universite.repository,EntityManager.LinkTable,21,0,0,0,8,0,1,0,1,0
Gateway,com.universite.security,SecurityUtils,92,71,9,5,20,14,15,7,8,7
Gateway,com.universite.web.filter,OAuth2ReactiveRefreshTokensWebFilter,6,54,1,1,1,17,1,5,0,5
Gateway,com.universite.security.oauth2,AudienceValidator,49,0,2,0,11,0,4,0,3,0
Gateway,com.universite.aop.logging,LoggingAspect,117,0,10,0,25,0,11,0,6,0
Gateway,com.universite,GatewayApp,138,24,10,2,27,10,9,3,3,3
Gateway,com.universite.service.dto,UserDTO,72,17,14,0,16,6,13,3,6,3
Gateway,com.universite.service.dto,AdminUserDTO,87,103,0,0,29,29,15,14,15,14
Gateway,com.universite.web.rest.vm,RouteVM,24,0,0,0,10,0,7,0,7,0
Gateway,com.universite.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Gateway,com.universite.web.rest.errors,ErrorConstants,0,7,0,0,0,2,0,1,0,1
Gateway,com.universite.web.rest.errors,BadRequestAlertException,10,34,0,0,3,13,3,2,3,2
Gateway,com.universite.web.rest.errors,ExceptionTranslator,124,374,31,57,13,78,28,40,2,22
Gateway,com.universite.service.mapper,UserMapper,227,3,18,0,63,1,22,1,13,1
Gateway,com.universite.service,UserService,110,433,21,31,21,104,17,34,2,23
Gateway,com.universite.config,LiquibaseConfiguration,9,119,3,3,2,26,3,4,0,4
Gateway,com.universite.config,DatabaseConfiguration.DurationWriteConverter,8,9,2,0,1,2,2,1,1,1
Gateway,com.universite.config,SecurityConfiguration.2.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Gateway,com.universite.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Gateway,com.universite.config,DatabaseConfiguration.ZonedDateTimeWriteConverter,3,9,0,0,1,2,1,1,1,1
Gateway,com.universite.config,DatabaseConfiguration.DurationReadConverter,8,9,2,0,1,2,2,1,1,1
Gateway,com.universite.config,LoggingConfiguration,11,53,4,4,3,13,4,2,0,2
Gateway,com.universite.config,DatabaseConfiguration,0,57,0,0,0,14,0,5,0,5
Gateway,com.universite.config,EurekaWorkaroundConfiguration,9,10,2,0,3,4,2,2,1,2
Gateway,com.universite.config,AsyncConfiguration,49,0,0,0,12,0,4,0,4,0
Gateway,com.universite.config,DatabaseConfiguration.ZonedDateTimeReadConverter,4,9,0,0,1,2,1,1,1,1
Gateway,com.universite.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Gateway,com.universite.config,JacksonConfiguration,0,21,0,0,0,5,0,3,0,3
Gateway,com.universite.config,DatabaseConfiguration.InstantReadConverter,0,13,0,0,0,3,0,2,0,2
Gateway,com.universite.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Gateway,com.universite.config,WebConfigurer,31,42,2,2,8,11,2,6,0,6
Gateway,com.universite.config,CRLFLogConverter,142,0,14,0,24,0,12,0,5,0
Gateway,com.universite.config,ReactorConfiguration,0,4,0,0,0,3,0,1,0,1
Gateway,com.universite.config,DatabaseConfiguration.BitSetReadConverter,5,9,0,0,1,2,1,1,1,1
Gateway,com.universite.config,SecurityConfiguration,129,299,3,1,31,53,11,15,9,15
Gateway,com.universite.config,DatabaseConfiguration.InstantWriteConverter,0,13,0,0,0,3,0,2,0,2
Gateway,com.universite.config,JacksonConfiguration.new JsonSerializer() {...},5,6,0,0,2,1,1,1,1,1
Gateway,com.universite.config,SecurityConfiguration.new Converter() {...},5,6,0,0,1,1,1,1,1,1
Gateway,com.universite.config,SecurityConfiguration.new ReactiveJwtDecoder() {...},178,0,12,0,30,0,17,0,11,0
Gateway,com.universite.repository.rowmapper,ColumnConverter,53,10,10,0,11,4,7,1,2,1
Gateway,com.universite.repository.rowmapper,UserRowMapper,85,6,0,0,10,3,1,1,1,1
